func,control,ta,agg,meter_num,meter_time,name,host,timestamp
meterRepTime_r5,24812871,0,8118944,20,341802300,cir,raspberrypi,2021-07-29T214516
meterRepTime_r4,24649277,0,7993870,20,330412113,cir,raspberrypi,2021-07-29T214516
meterRepTime_r3,24309408,0,5354426,20,325720612,cir,raspberrypi,2021-07-29T214516
meterRepTime_r2,24311889,0,5559129,20,325811980,cir,raspberrypi,2021-07-29T214516
meterRepTime_r10,27071963,0,102804408,20,434162575,cir,raspberrypi,2021-07-29T214310
meterRepTime_r9,24417667,0,8613759,20,330037000,cir,raspberrypi,2021-07-29T214310
meterRepTime_r8,24598463,0,6382333,20,327163648,cir,raspberrypi,2021-07-29T214310
meterRepTime_r7,24384019,0,5681074,20,326050943,cir,raspberrypi,2021-07-29T214310
meterRepTime_r6,24226370,0,4679130,20,324329445,cir,raspberrypi,2021-07-29T214310
meterRepTime_r5,24472574,0,6343222,20,324928517,cir,raspberrypi,2021-07-29T214310
meterRepTime_r4,24878944,0,6690037,20,324801038,cir,raspberrypi,2021-07-29T214310
meterRepTime_r3,24210685,0,4343926,20,333773443,cir,raspberrypi,2021-07-29T214310
meterRepTime_r2,24187203,0,4841148,20,320844632,cir,raspberrypi,2021-07-29T214310
meterRepTime_r10,26827815,0,81436314,20,416366570,cir,raspberrypi,2021-07-29T213641
meterRepTime_r9,24399556,0,8753871,20,332993501,cir,raspberrypi,2021-07-29T213641
meterRepTime_r8,24458759,0,6224389,20,329919906,cir,raspberrypi,2021-07-29T213641
meterRepTime_r7,24304166,0,5997148,20,328625332,cir,raspberrypi,2021-07-29T213641
meterRepTime_r6,24275944,0,4898815,20,328250056,cir,raspberrypi,2021-07-29T213641
meterRepTime_r5,24516074,0,7017833,20,327780945,cir,raspberrypi,2021-07-29T213641
meterRepTime_r4,24675074,0,6980907,20,343595501,cir,raspberrypi,2021-07-29T213641
meterRepTime_r3,24119481,0,4370556,20,323582020,cir,raspberrypi,2021-07-29T213641
